Demographic,r2_0,r2_1,pval,fdr_corrected_pval,r2_diff,Sig at 0.05,Sig at 0.01,Sig at 0.001
AGE17_0.6,0.8916651290121652,0.8162912912759664,0.0056,0.011586206896551723,0.07537383773619877,True,False,False
AGE17_0.7,0.8540494031345957,0.9590479481835018,0.0053,0.011357142857142857,0.10499854504890616,True,False,False
AGE17_0.8,0.8727341804706422,0.8386215234535375,0.35,0.4772727272727273,0.03411265701710475,False,False,False
AGE17_0.9,0.8725860188425326,0.8771702528075919,0.9295,0.961551724137931,0.004584233965059248,False,False,False
AGE65_0.6,0.8984149998113046,0.8215853014730109,0.005,0.011111111111111112,0.07682969833829367,True,False,False
AGE65_0.7,0.8992631537551189,0.8155706638368572,0.0033,0.008499999999999999,0.08369248991826173,True,True,False
AGE65_0.8,0.8984619822693329,0.8051363783946898,0.0066,0.0132,0.09332560387464317,True,False,False
AGE65_0.9,0.8555381083756798,0.9658181561577245,0.0297,0.0495,0.1102800477820447,True,False,False
CROWD_0.6,0.8767111540679755,0.8402543659695522,0.2966,0.4237142857142857,0.03645678809842334,False,False,False
CROWD_0.7,0.8743562485975035,0.7946984752858973,0.0895,0.13769230769230767,0.07965777331160617,False,False,False
CROWD_0.8,0.8747570323459621,0.8016826585234919,0.1741,0.25478048780487805,0.07307437382247028,False,False,False
CROWD_0.9,0.8733365254363771,0.8754070928398405,0.9859,0.9859,0.0020705674034634525,False,False,False
DISABL_0.6,0.9055353388470495,0.8219144525431751,0.0015,0.0045000000000000005,0.08362088630387443,True,True,False
DISABL_0.7,0.9091007868567255,0.7124041318202766,0.0,0.0,0.19669665503644884,True,True,True
DISABL_0.8,0.9051461936771642,0.3753780462349791,0.0,0.0,0.5297681474421851,True,True,True
DISABL_0.9,0.9059823422143208,0.09622874464873582,0.0,0.0,0.809753597565585,True,True,True
GROUPQ_0.6,0.8467732839333274,0.893667981109009,0.0658,0.10389473684210526,0.04689469717568162,False,False,False
GROUPQ_0.7,0.8490447430559261,0.9365249971794987,0.0011,0.0034736842105263163,0.08748025412357252,True,True,False
GROUPQ_0.8,0.856997801478217,0.9484577148717761,0.0042,0.010079999999999999,0.09145991339355908,True,False,False
GROUPQ_0.9,0.858365611822679,0.9482485997827454,0.0092,0.01725,0.08988298796006644,True,False,False
LIMENG_0.6,0.7763531269643276,0.944536996667354,0.0,0.0,0.16818386970302646,True,True,True
LIMENG_0.7,0.78115076608043,0.9469179827104002,0.0,0.0,0.16576721662997018,True,True,True
LIMENG_0.8,0.8375020639217811,0.9351351853275426,0.0047,0.010846153846153846,0.09763312140576152,True,False,False
LIMENG_0.9,0.8703083093736913,0.8947105722031634,0.6184,0.7275294117647059,0.02440226282947211,False,False,False
MINRTY_0.6,0.9214576887081882,0.8248057959570378,0.0002,0.0007058823529411765,0.09665189275115038,True,True,True
MINRTY_0.7,0.9193821877134509,0.8099512937533696,0.0,0.0,0.10943089396008132,True,True,True
MINRTY_0.8,0.9079376908718847,0.6958772176100368,0.0,0.0,0.21206047326184785,True,True,True
MINRTY_0.9,0.9056074266760533,0.5053748256189422,0.0,0.0,0.4002326010571111,True,True,True
MOBILE_0.6,0.8747445328557355,0.7516307109206635,0.0028,0.0076363636363636364,0.12311382193507203,True,True,False
MOBILE_0.7,0.8763719639973052,0.7413151359604219,0.0087,0.016838709677419354,0.13505682803688335,True,False,False
MOBILE_0.8,0.8771023969217274,0.7183207914763491,0.0156,0.027529411764705882,0.15878160544537834,True,False,False
MOBILE_0.9,0.8783549976827656,0.5012139675757987,0.0034,0.008499999999999999,0.37714103010696687,True,True,False
MUNIT_0.6,0.7604439363048059,0.9080987640194352,0.0,0.0,0.14765482771462934,True,True,True
MUNIT_0.7,0.8471500719771362,0.8891234843427844,0.0923,0.13845,0.04197341236564822,False,False,False
MUNIT_0.8,0.8630665979807989,0.8832084182174353,0.4367,0.5696086956521739,0.020141820236636465,False,False,False
MUNIT_0.9,0.8516305134005749,0.9324364892602683,0.0153,0.027529411764705882,0.0808059758596934,True,False,False
NOHSDP_0.6,0.8745437127558661,0.8677352266890307,0.8236,0.8669473684210527,0.006808486066835373,False,False,False
NOHSDP_0.7,0.8750898164582039,0.8633493889833954,0.7082,0.8017358490566039,0.011740427474808524,False,False,False
NOHSDP_0.8,0.8728484301216917,0.8842004056535683,0.8061,0.8669473684210527,0.011351975531876612,False,False,False
NOHSDP_0.9,0.8712015697465811,0.9080961066203844,0.4727,0.6034468085106384,0.036894536873803285,False,False,False
NOVEH_0.6,0.9012979346321394,0.8414062643194472,0.0193,0.03308571428571429,0.05989167031269216,True,False,False
NOVEH_0.7,0.9011249211743725,0.8166410380240032,0.0025,0.0071428571428571435,0.08448388315036925,True,True,False
NOVEH_0.8,0.9114946318068818,0.7295933643182809,0.0,0.0,0.18190126748860092,True,True,True
NOVEH_0.9,0.870437961494823,0.8859803431916318,0.6089,0.7275294117647059,0.015542381696808771,False,False,False
PCI_0.6,0.9075118854763339,0.6765009327214276,0.0,0.0,0.23101095275490624,True,True,True
PCI_0.7,0.9078262729017447,0.6702677400148089,0.0,0.0,0.23755853288693574,True,True,True
PCI_0.8,0.8725365115367342,0.8832431543887972,0.7808,0.8669473684210527,0.01070664285206302,False,False,False
PCI_0.9,0.8716590954268582,0.8694118539923155,0.9742,0.9859,0.0022472414345426905,False,False,False
POV_0.6,0.9298848875143986,0.7411353421308498,0.0,0.0,0.18874954538354882,True,True,True
POV_0.7,0.9114223104990348,0.7382326226020962,0.0,0.0,0.17318968789693856,True,True,True
POV_0.8,0.8746764447636303,0.8669114844441578,0.8154,0.8669473684210527,0.0077649603194724914,False,False,False
POV_0.9,0.8747929857493726,0.7754402275093041,0.0461,0.07475675675675676,0.0993527582400685,False,False,False
SNGPNT_0.6,0.9232988599231489,0.7284076196169759,0.0,0.0,0.194891240306173,True,True,True
SNGPNT_0.7,0.9044319238934543,0.7479273562264185,0.0003,0.001,0.1565045676670358,True,True,False
SNGPNT_0.8,0.9064751757022984,0.6641325760917705,0.0001,0.000375,0.24234259961052795,True,True,True
SNGPNT_0.9,0.871160513501332,0.9011240004337338,0.5209,0.6406530612244898,0.029963486932401806,False,False,False
UNEMP_0.6,0.8863608650338229,0.8688498049882842,0.5232,0.6406530612244898,0.017511060045538707,False,False,False
UNEMP_0.7,0.8690225947347884,0.9019818565375135,0.3204,0.4470697674418605,0.032959261802725126,False,False,False
UNEMP_0.8,0.8721947004972899,0.8878769220457233,0.668,0.7707692307692308,0.01568222154843346,False,False,False
UNEMP_0.9,0.8710558594345444,0.9057397443456177,0.4343,0.5696086956521739,0.034683884911073215,False,False,False
