Demographic,r2_0,r2_1,pval,Sig at 0.05,Sig at 0.01,Sig at 0.001
GROUPQ_0.6,0.8402349463116252,0.8861819920065567,0.0895,False,False,False
NOVEH_0.6,0.8937108772726405,0.8371651501604224,0.0347,False,False,False
CROWD_0.6,0.8691607589998707,0.8446157946047412,0.513,False,False,False
MOBILE_0.6,0.8672039413902132,0.7522640071127059,0.004,True,True,False
MUNIT_0.6,0.7549009533825853,0.9001483283337649,0.0,True,True,True
LIMENG_0.6,0.7630251427253575,0.9419814967010136,0.0,True,True,True
MINRTY_0.6,0.9182265508002654,0.8136367927834205,0.0002,True,True,True
SNGPNT_0.6,0.9167501743794708,0.7189095328432479,0.0,True,True,True
DISABL_0.6,0.8995389593914366,0.8164278278391193,0.0026,True,True,False
AGE17_0.6,0.8848987108636853,0.8074561370657632,0.007,True,False,False
AGE65_0.6,0.8917509549244343,0.8160801480106015,0.0063,True,False,False
NOHSDP_0.6,0.8660253017514317,0.8693246328184051,0.9216,False,False,False
PCI_0.6,0.9012616592107916,0.6629383778596238,0.0,True,True,True
UNEMP_0.6,0.8823428024877066,0.8579854789978333,0.3945,False,False,False
POV_0.6,0.9227647302368251,0.7338583411520011,0.0,True,True,True
GROUPQ_0.7,0.8403104137841352,0.9356034744965182,0.0007,True,True,False
NOVEH_0.7,0.8946650176444426,0.8104081945872679,0.0033,True,True,False
CROWD_0.7,0.8671296882324557,0.8042926421586134,0.1983,False,False,False
MOBILE_0.7,0.868950913041735,0.7400315855302795,0.0123,True,False,False
MUNIT_0.7,0.8414173036512972,0.8805601382858212,0.1301,False,False,False
LIMENG_0.7,0.7686614361949607,0.9437829462717467,0.0,True,True,True
MINRTY_0.7,0.9152854923792092,0.7986837467969393,0.0002,True,True,True
SNGPNT_0.7,0.8969964768524947,0.7421160283855013,0.0004,True,True,False
DISABL_0.7,0.902720432330078,0.702308717487174,0.0,True,True,True
AGE17_0.7,0.845941123670247,0.9555107780909784,0.0042,True,True,False
AGE65_0.7,0.8921599480661665,0.8109704629478685,0.0071,True,False,False
NOHSDP_0.7,0.866979371493655,0.8631473201172467,0.9095,False,False,False
PCI_0.7,0.901545524847798,0.6570751786035742,0.0,True,True,True
UNEMP_0.7,0.8610754658009072,0.9006247571770587,0.2481,False,False,False
POV_0.7,0.9037551096926644,0.7330364251815015,0.0,True,True,True
GROUPQ_0.8,0.8490918898408564,0.9479985773516904,0.0029,True,True,False
NOVEH_0.8,0.9047713309543762,0.7215969420253129,0.0,True,True,True
CROWD_0.8,0.8675563151514937,0.8210089791173196,0.4432,False,False,False
MOBILE_0.8,0.8698458007061648,0.7171915576013044,0.0197,True,False,False
MUNIT_0.8,0.8575772158424396,0.8735115194415982,0.5523,False,False,False
LIMENG_0.8,0.8275274319311179,0.9337411826217216,0.003,True,True,False
MINRTY_0.8,0.9013303724843846,0.6846205693870581,0.0,True,True,True
SNGPNT_0.8,0.9002124791080036,0.6498644048720394,0.0,True,True,True
DISABL_0.8,0.8993001110540271,0.353426202899507,0.0,True,True,True
AGE17_0.8,0.8654056701245157,0.8413745677595972,0.5347,False,False,False
AGE65_0.8,0.8917900102319263,0.800051620027469,0.0106,True,False,False
NOHSDP_0.8,0.8651312541066016,0.8830937161070834,0.7068,False,False,False
PCI_0.8,0.8648957703539737,0.8805207734635292,0.7071,False,False,False
UNEMP_0.8,0.8643995984586511,0.8868324030186076,0.5727,False,False,False
POV_0.8,0.8666052823262201,0.8663684722303514,0.9945,False,False,False
GROUPQ_0.9,0.8506220383992423,0.9473201720728488,0.006,True,False,False
NOVEH_0.9,0.8624502140277807,0.8832537008875473,0.5154,False,False,False
CROWD_0.9,0.8661832003291905,0.8812436621548313,0.9042,False,False,False
MOBILE_0.9,0.8711307273558853,0.5090803505762099,0.0043,True,True,False
MUNIT_0.9,0.842592446337952,0.932188766034925,0.0078,True,False,False
LIMENG_0.9,0.8617071453007097,0.9004525326667554,0.4329,False,False,False
MINRTY_0.9,0.8994418400205307,0.4888996840059706,0.0,True,True,True
SNGPNT_0.9,0.8636217458791342,0.8979464725780654,0.4855,False,False,False
DISABL_0.9,0.9000943650761449,0.0800623082526767,0.0,True,True,True
AGE17_0.9,0.8653992858610562,0.8701731292696553,0.9304,False,False,False
AGE65_0.9,0.8475319476312793,0.9643124861212338,0.0284,True,False,False
NOHSDP_0.9,0.8636350244593002,0.9051292788051732,0.4432,False,False,False
PCI_0.9,0.8641621660803065,0.8654515252956714,0.9864,False,False,False
UNEMP_0.9,0.8634727561509876,0.9028542436027792,0.4008,False,False,False
POV_0.9,0.8674344083256997,0.7816705527463385,0.078,False,False,False
